code,level,title,href,admin_path,parent_code,parent_title
7.1,2,7.1 Kế hoạch kinh doanh,#,,7,7. CEO
7.1.1,3,1. Kế hoạch kinh doanh tháng,/ld/unit-admin/thiet-lap-kpi,/admin/ld/unit-admin/thiet-lap-kpi,7.1,7.1 Kế hoạch kinh doanh
7.1.2,3,2. Lập kế hoạch kinh doanh năm,/ld/thong-ke/lap-ke-hoach-kinh-doanh,/admin/ld/thong-ke/lap-ke-hoach-kinh-doanh,7.1,7.1 Kế hoạch kinh doanh
7.1.3,3,3. Danh mục KPI,/ld/unit-admin/danh-muc-kpi,/admin/ld/unit-admin/danh-muc-kpi,7.1,7.1 Kế hoạch kinh doanh
7.1.4,3,4. Khai báo thưởng,/ld/unit-admin/thiet-lap-thuong-theo-doanh-so,/admin/ld/unit-admin/thiet-lap-thuong-theo-doanh-so,7.1,7.1 Kế hoạch kinh doanh
8,1,8. Báo cáo thống kê,#,,,
8.1,2,8.1 Marketing,#,,8,8. Báo cáo thống kê
8.1.1,3,1. Biểu đồ thống kê theo khung giờ,/ld/thong-ke,/admin/ld/thong-ke,8.1,8.1 Marketing
8.1.2,3,2. Báo cáo doanh số marketing,/bao-cao/bao-cao-doanh-so-chi-tiet-marketing,/admin/bao-cao/bao-cao-doanh-so-chi-tiet-marketing,8.1,8.1 Marketing
8.1.3,3,3. Báo cáo up sale,/ld/thong-ke/bao-cao-up-sale,/admin/ld/thong-ke/bao-cao-up-sale,8.1,8.1 Marketing
8.2,2,8.2 Sale,#,,8,8. Báo cáo thống kê
8.2.1,3,1. Báo cáo công việc sale,/ld/thong-ke/bao-cao-cong-viec-sale,/admin/ld/thong-ke/bao-cao-cong-viec-sale,8.2,8.2 Sale
8.2.2,3,2. Báo cáo doanh số sale,/bao-cao/bao-cao-doanh-so-chi-tiet,/admin/bao-cao/bao-cao-doanh-so-chi-tiet,8.2,8.2 Sale
8.2.3,3,3. Báo cáo lịch hẹn telesales,/ld/thong-ke/bao-cao-lich-hen-telesales,/admin/ld/thong-ke/bao-cao-lich-hen-telesales,8.2,8.2 Sale
8.3,2,8.3 Kho,#,,8,8. Báo cáo thống kê
8.3.1,3,"1. Báo cáo nhập, xuất theo ngày",/ld/warehouse/quan-ly-kho/bao-cao-xuat-nhap-theo-ngay,/admin/ld/warehouse/quan-ly-kho/bao-cao-xuat-nhap-theo-ngay,8.3,8.3 Kho
8.3.2,3,2. Bảng tổng hợp chờ xuất theo ngày,/bao-cao/bao-cao-cho-xuat-theo-ngay,/admin/bao-cao/bao-cao-cho-xuat-theo-ngay,8.3,8.3 Kho
8.3.3,3,3. Báo cáo giá vốn sản phẩm,/ld/thong-ke/bao-cao-gia-von-san-pham,/admin/ld/thong-ke/bao-cao-gia-von-san-pham,8.3,8.3 Kho
8.3.4,3,4. Báo cáo kinh doanh hệ thống,/ld/thong-ke/bao-cao-kinh-doanh-he-thong,/admin/ld/thong-ke/bao-cao-kinh-doanh-he-thong,8.3,8.3 Kho
8.4,2,8.4 Kế toán,#,,8,8. Báo cáo thống kê
8.4.1,3,1. Báo cáo kinh doanh,/bao-cao/bao-cao-kinh-doanh-accounting,/admin/bao-cao/bao-cao-kinh-doanh-accounting,8.4,8.4 Kế toán
8.5,2,8.5 Quản trị,#,,8,8. Báo cáo thống kê
8.5.1,3,1. CEO dashboard,/bao-cao/ceo-dash-board,/admin/bao-cao/ceo-dash-board,8.5,8.5 Quản trị
8.5.2,3,2. CEO dashboard V2,/bao-cao/ceo-dash-board-v2,/admin/bao-cao/ceo-dash-board-v2,8.5,8.5 Quản trị
8.5.3,3,3. Phong thần bảng,/ld/ceo/phong-than-bang,/admin/ld/ceo/phong-than-bang,8.5,8.5 Quản trị
8.5.4,3,4. Biểu đồ xu hướng,/ld/ceo/xu-huong,/admin/ld/ceo/xu-huong,8.5,8.5 Quản trị
8.5.5,3,5. Bảng tổng hợp chia data,/ld/ceo/bang-tong-hop-chia-so,/admin/ld/ceo/bang-tong-hop-chia-so,8.5,8.5 Quản trị
